TI:,7071,0001,4,SNB,P,2,35125,35145,1,,P,,,070001
TI:,7071,0001,4,LYS,P,2,35305,35355,2,,P,,,063002
TI:,7071,0001,4,LEY,P,2,35470,35490,1,,P,,,062001
TI:,7071,0001,4,SFD,P,2,35650,35670,3,,P,,,061003
TI:,7071,0001,4,MLE,P,2,35860,35880,1,,P,,,060001
TI:,7071,0001,4,BNG,P,2,36025,36045,1,,P,,,059001
TI:,7071,0001,4,LST,P,2,36220,36240,5,,P,,,058005
TI:,7071,0001,4,BNK,P,2,36340,36360,5,,P,,,056005
TI:,7071,0001,4,STP,P,2,36460,36480,1,,P,,,054001
TI:,7071,0001,4,CYL,P,2,36580,36600,1,,P,,,052001
TI:,7071,0001,4,HOL,P,2,36655,36675,1,,P,,,050001
TI:,7071,0001,4,TCR,P,2,36760,36780,1,,P,,,048001
TI:,7071,0001,4,OXC,P,2,36835,36855,1,,P,,,046001
TI:,7071,0001,4,BDS,P,2,36925,36945,1,,P,,,044001
TI:,7071,0001,4,MAR,P,2,37015,37035,1,,P,,,042001
TI:,7071,0001,4,LAN,P,2,37120,37140,1,,P,,,041001
TI:,7071,0001,4,QWY,P,2,37240,37260,1,,P,,,040001
TI:,7071,0001,4,NHG,P,2,37330,37350,4,,P,,,037004
TI:,7071,0001,4,HPK,P,2,37420,37440,1,,P,,,035001
TI:,7071,0001,4,SBC,P,2,37525,37545,1,,P,,,033001
TI:,7071,0001,4,WCT,P,2,37720,37770,1,,P,,,030001
TI:,7071,0001,4,EAC,P,2,37915,37935,1,,P,,,024001
TI:,7071,0001,4,NAC,P,2,38035,38055,1,,P,,,020001
TI:,7071,0001,4,NAJ,J,2,,38085,0,,P,1,,018050
TI:,7071,0001,4,HLN,P,2,38230,38250,1,,P,,,009001
TI:,7071,0001,4,PER,P,2,38380,38400,1,,P,,,008001
TI:,7071,0001,4,GFD,P,2,38515,38535,1,,P,,,007001
TI:,7071,0001,4,NHT,P,2,38650,38670,1,,P,,,006001
TI:,7071,0001,4,SRP,P,2,38800,38820,1,,P,,,005001
TI:,7071,0001,4,RUG,P,2,38905,38925,1,,P,,,004001
TL:,7071,0001,4,WRP,P,2,39105,,2,,P,,,002002
TF:,7071,0001,5,WRP,P,1,,39885,2,,P,,,002002
TI:,7071,0001,5,RUG,P,1,40011,40035,2,,P,,,004002
TI:,7071,0001,5,SRP,P,1,40105,40125,2,,P,,,005002
TI:,7071,0001,5,NHT,P,1,40268,40290,2,,P,,,006002
TI:,7071,0001,5,GFD,P,1,40403,40425,3,,P,,,007003
TI:,7071,0001,5,PER,P,1,40517,40545,2,,P,,,008002
TI:,7071,0001,5,HLN,P,1,40680,40695,2,,P,,,009002
TI:,7071,0001,5,NAJ,J,1,,40845,0,,P,1,,018040
TI:,7071,0001,5,NAC,P,1,40885,40905,3,,P,,,020003
TI:,7071,0001,5,EAC,P,1,40990,41010,2,,P,,,024002
TI:,7071,0001,5,WCT,P,1,41170,41220,4,,P,,,030004
TI:,7071,0001,5,SBC,P,1,41365,41385,2,,P,,,033002
TI:,7071,0001,5,HPK,P,1,41470,41490,2,,P,,,035002
TI:,7071,0001,5,NHG,P,1,41560,41580,3,,P,,,037003
TI:,7071,0001,5,QWY,P,1,41650,41670,2,,P,,,040002
TI:,7071,0001,5,LAN,P,1,41740,41760,2,,P,,,041002
TI:,7071,0001,5,MAR,P,1,41890,41910,2,,P,,,042002
TI:,7071,0001,5,BDS,P,1,41965,41985,2,,P,,,044002
TI:,7071,0001,5,OXC,P,1,42055,42075,2,,P,,,046002
TI:,7071,0001,5,TCR,P,1,42130,42150,2,,P,,,048002
TI:,7071,0001,5,HOL,P,1,42250,42270,2,,P,,,050002
TI:,7071,0001,5,CYL,P,1,42325,42345,2,,P,,,052002
TI:,7071,0001,5,STP,P,1,42430,42450,2,,P,,,054002
TI:,7071,0001,5,BNK,P,1,42550,42570,6,,P,,,056006
TI:,7071,0001,5,LST,P,1,42685,42705,4,,P,,,058004
TI:,7071,0001,5,BNG,P,1,42865,42885,2,,P,,,059002
TI:,7071,0001,5,MLE,P,1,43000,43020,4,,P,,,060004
TI:,7071,0001,5,SFD,P,1,43210,43230,6,,P,,,061006
TI:,7071,0001,5,LEY,P,1,43375,43395,2,,P,,,062002
TI:,7071,0001,5,LYS,P,1,43525,43575,3,,P,,,063003
TI:,7071,0001,5,SNB,P,1,43690,43710,2,,P,,,070002
TI:,7071,0001,5,SWF,P,1,43810,43830,2,,P,,,071002
TI:,7071,0001,5,WFW,T,1,,43890,0,,P,1,,072040
TI:,7071,0001,5,WFD,P,1,43945,43965,3,,P,,,073003
TI:,7071,0001,5,WDJ,J,1,,44040,0,,P,1,,074040
TI:,7071,0001,5,BHL,P,1,44095,44115,2,,P,,,089002
TI:,7071,0001,5,LTN,P,1,44245,44280,4,,P,,,091004
TI:,7071,0001,5,DEB,P,1,44410,44430,2,1,P,,,092002
TI:,7071,0001,5,THB,P,1,44605,44625,2,,P,,,093002
TL:,7071,0001,5,EPP,P,1,44790,,2,,P,,,094002
TF:,7071,0001,6,EPP,P,2,,45390,2,,P,,,094002
TI:,7071,0001,6,THB,P,2,45531,45555,1,,P,,,093001
TI:,7071,0001,6,DEB,P,2,45743,45765,1,,P,,,092001
TI:,7071,0001,6,LTN,P,2,45923,46005,1,,P,,,091001
TI:,7071,0001,6,BHL,P,2,46127,46155,1,,P,,,089001
TI:,7071,0001,6,WDJ,J,2,,46230,0,,P,1,,074050
TI:,7071,0001,6,WFD,P,2,46300,46320,2,2,P,,,073002
TI:,7071,0001,6,WFW,T,2,,46380,0,,P,1,,072050
TI:,7071,0001,6,SWF,P,2,46435,46455,1,,P,,,071001
TI:,7071,0001,6,SNB,P,2,46555,46575,1,,P,,,070001
TI:,7071,0001,6,LYS,P,2,46720,46770,2,,P,,,063002
TI:,7071,0001,6,LEY,P,2,46885,46905,1,,P,,,062001
TI:,7071,0001,6,SFD,P,2,47050,47070,3,,P,,,061003
TI:,7071,0001,6,MLE,P,2,47260,47280,1,,P,,,060001
TI:,7071,0001,6,BNG,P,2,47425,47445,1,,P,,,059001
TI:,7071,0001,6,LST,P,2,47620,47640,5,,P,,,058005
TI:,7071,0001,6,BNK,P,2,47740,47760,5,,P,,,056005
TI:,7071,0001,6,STP,P,2,47845,47865,1,,P,,,054001
TI:,7071,0001,6,CYL,P,2,47965,47985,1,,P,,,052001
TI:,7071,0001,6,HOL,P,2,48040,48060,1,,P,,,050001
TI:,7071,0001,6,TCR,P,2,48145,48165,1,,P,,,048001
TI:,7071,0001,6,OXC,P,2,48220,48240,1,,P,,,046001
TI:,7071,0001,6,BDS,P,2,48310,48330,1,,P,,,044001
TI:,7071,0001,6,MAR,P,2,48400,48420,1,,P,,,042001
TI:,7071,0001,6,LAN,P,2,48505,48525,1,,P,,,041001
TI:,7071,0001,6,QWY,P,2,48625,48645,1,,P,,,040001
TI:,7071,0001,6,NHG,P,2,48715,48735,4,,P,,,037004
TI:,7071,0001,6,HPK,P,2,48805,48825,1,,P,,,035001
TI:,7071,0001,6,SBC,P,2,48910,48930,1,,P,,,033001
TI:,7071,0001,6,WCT,P,2,49105,49155,1,,P,,,030001
TI:,7071,0001,6,EAC,P,2,49300,49320,1,,P,,,024001
TI:,7071,0001,6,NAC,P,2,49420,49440,1,,P,,,020001
TI:,7071,0001,6,NAJ,J,2,,49470,0,,P,1,,018050
TI:,7071,0001,6,HLN,P,2,49615,49635,1,,P,,,009001
TI:,7071,0001,6,PER,P,2,49765,49785,1,,P,,,008001
TI:,7071,0001,6,GFD,P,2,49900,49920,1,,P,,,007001
TI:,7071,0001,6,NHT,P,2,50035,50055,1,,P,,,006001
TI:,7071,0001,6,SRP,P,2,50185,50205,1,,P,,,005001
TI:,7071,0001,6,RUG,P,2,50290,50310,1,,P,,,004001
TL:,7071,0001,6,WRP,P,2,50460,,2,,P,,,002002
TF:,7071,0001,7,WRP,P,1,,50985,2,,P,,,002002
TI:,7071,0001,7,RUG,P,1,51111,51135,2,,P,,,004002
TI:,7071,0001,7,SRP,P,1,51205,51225,2,,P,,,005002
TI:,7071,0001,7,NHT,P,1,51368,51390,2,,P,,,006002
TI:,7071,0001,7,GFD,P,1,51503,51525,3,,P,,,007003
TI:,7071,0001,7,PER,P,1,51617,51645,2,,P,,,008002
TI:,7071,0001,7,HLN,P,1,51780,51795,2,,P,,,009002
TI:,7071,0001,7,NAJ,J,1,,51945,0,,P,1,,018040
TI:,7071,0001,7,NAC,P,1,51985,52005,3,,P,,,020003
TI:,7071,0001,7,EAC,P,1,52090,52110,2,,P,,,024002
TI:,7071,0001,7,WCT,P,1,52270,52320,4,,P,,,030004
TI:,7071,0001,7,SBC,P,1,52465,52485,2,,P,,,033002
TI:,7071,0001,7,HPK,P,1,52570,52590,2,,P,,,035002
TI:,7071,0001,7,NHG,P,1,52660,52680,3,,P,,,037003
TI:,7071,0001,7,QWY,P,1,52750,52770,2,,P,,,040002
TI:,7071,0001,7,LAN,P,1,52840,52860,2,,P,,,041002
TI:,7071,0001,7,MAR,P,1,52990,53010,2,,P,,,042002
TI:,7071,0001,7,BDS,P,1,53065,53085,2,,P,,,044002
TI:,7071,0001,7,OXC,P,1,53155,53175,2,,P,,,046002
TI:,7071,0001,7,TCR,P,1,53230,53250,2,,P,,,048002
TI:,7071,0001,7,HOL,P,1,53350,53370,2,,P,,,050002
